longName,fastaName,gffName,gff3Name,gc,numGeneGff3,numExonGff3,exonDensityGff3,numIntronGff3,intronDensityGff3,numGeneGff,numExonGff,exonDensityGff,numIntronGff,intronDensityGff,rnaSeqCount,ES
Alternaria alternata SRC1lrK2f v1.0,Altal1_AssemblyScaffolds.fasta.gz,Altal1_GeneCatalog_genes_20141010.gff.gz,,51.4,,,,,,13469.0,35099.0,2.6059098671,21630.0,1.61,2,pass
Alternaria brassicicola,Alternaria_brassicicola_unmasked_assembly.fasta.gz,,Altbr1.filtered_proteins.External_gene_models.gff3.gz,50.5,10688.0,28593.0,2.67524326347,17905.0,1.68,,,,,,28,pass
Amanita muscaria Koide v1.0,Amamu1_AssemblyScaffolds.fasta.gz,Amamu1_GeneCatalog_genes_20120806.gff.gz,Amamu1.filtered_proteins.FilteredModels1.gff3.gz,47.5,18153.0,82381.0,4.53814796452,64190.0,3.54,18153.0,82381.0,4.53814796452,64228.0,3.54,4,pass
Amanita thiersii Skay4041 v1.0,Amath1_AssemblyScaffolds.fasta.gz,Amath1_GeneCatalog_genes_20120702.gff.gz,Amath1.filtered_proteins.FilteredModels1.gff3.gz,45.3,10354.0,62374.0,6.02414525787,52020.0,5.02,10354.0,62374.0,6.02414525787,52020.0,5.02,1,fail
Amniculicola lignicola CBS 123094 v1.0,Amnli1_AssemblyScaffolds.fasta.gz,Amnli1_GeneCatalog_genes_20140304.gff.gz,Amnli1.filtered_proteins.FilteredModels1.gff3.gz,47.8,9883.0,26517.0,2.68309217849,16634.0,1.68,15590.0,41596.0,2.66812059012,26006.0,1.67,1,pass
Amorphotheca resinae v1.0,Amore1_AssemblyScaffolds.fasta.gz,Amore1_GeneCatalog_genes_20110719.gff.gz,Amore1.filtered_proteins.FilteredModels1.gff3.gz,47.6,9642.0,28616.0,2.96784899398,18974.0,1.97,9642.0,28616.0,2.96784899398,18974.0,1.97,1,pass
Anthostoma avocetta NRRL 3190 v1.0,Antav1_AssemblyScaffolds.fasta.gz,Antav1_GeneCatalog_genes_20130828.gff.gz,Antav1.filtered_proteins.FilteredModels1.gff3.gz,44.4,1488.0,4531.0,3.04502688172,3043.0,2.05,15755.0,46238.0,2.93481434465,30483.0,1.93,1,pass
Antonospora locustae HM-2013,Antlo1_AssemblyScaffolds.fasta.gz,Antlo1_GeneCatalog_genes_20130909.gff.gz,Antlo1.filtered_proteins.ExternalModels.gff3.gz,47.4,2606.0,2606.0,1.0,,,2606.0,2606.0,1.0,0.0,0.0,0,pass
Antrodia sinuosa v1.0,Antsi1_AssemblyScaffolds.fasta.gz,Antsi1_GeneCatalog_genes_20130416.gff.gz,Antsi1.filtered_proteins.FilteredModels1.gff3.gz,51.1,11327.0,68984.0,6.0902268915,57657.0,5.09,11327.0,68984.0,6.0902268915,57657.0,5.09,0,pass
Apiospora montagnei NRRL 25634 v1.0,Apimo1_AssemblyScaffolds.fasta.gz,Apimo1_GeneCatalog_genes_20120813.gff.gz,Apimo1.filtered_proteins.FilteredModels1.gff3.gz,52.0,16992.0,42806.0,2.51918549906,25806.0,1.52,16992.0,42806.0,2.51918549906,25814.0,1.52,1,pass
Aplosporella prunicola CBS 121.167 v1.0,Aplpr1_AssemblyScaffolds.fasta.gz,Aplpr1_GeneCatalog_genes_20121211.gff.gz,Aplpr1.filtered_proteins.FilteredModels1.gff3.gz,54.3,12579.0,33532.0,2.66571269576,20953.0,1.67,12579.0,33532.0,2.66571269576,20953.0,1.67,0,pass
Armillaria gallica 21-2 v1.0,Armga1_AssemblyScaffolds.fasta.gz,Armga1_GeneCatalog_genes_20141028.gff.gz,,47.4,,,,,,25704.0,138679.0,5.39523031435,112975.0,4.4,0,pass
Armillaria mellea,Armme1_1_AssemblyScaffolds.fasta.gz,Armme1_1_GeneCatalog_genes_20140802.gff.gz,,47.3,,,,,,14473.0,87115.0,6.01913908658,72642.0,5.02,0,pass
Arthroderma benhamiae CBS 112371,Artbe1_AssemblyScaffolds.fasta.gz,Artbe1_GeneCatalog_genes_20131209.gff.gz,Artbe1.filtered_proteins.ExternalModels.gff3.gz,48.7,7980.0,20652.0,2.58796992481,12672.0,1.59,7980.0,20652.0,2.58796992481,12672.0,1.59,4,pass
Artolenzites elegans CIRM1663 v1.0,Artel1_AssemblyScaffolds.fasta.gz,Artel1_GeneCatalog_genes_20140630.gff.gz,Artel1.filtered_proteins.FilteredModels1.gff3.gz,58.8,12851.0,73544.0,5.7228231266,60693.0,4.72,12851.0,73544.0,5.7228231266,60693.0,4.72,15,pass
Arthrobotrys oligospora ATCC 24927,Artol1_AssemblyScaffolds.fasta.gz,Artol1_GeneCatalog_genes_20131209.gff.gz,Artol1.filtered_proteins.ExternalModels.gff3.gz,44.5,11479.0,36375.0,3.16883003746,24896.0,2.17,11479.0,36375.0,3.16883003746,24896.0,2.17,5,pass
Blastobotrys (Arxula) adeninivorans,Arxad1_AssemblyScaffolds.fasta.gz,Arxad1_GeneCatalog_genes_20141211.gff.gz,,48.1,,,,,,6119.0,7037.0,1.15002451381,918.0,0.15,0,pass
Ascobolus immersus RN42 v1.0,Ascim1_AssemblyScaffolds.fasta.gz,Ascim1_GeneCatalog_genes_20121221.gff.gz,Ascim1.filtered_proteins.FilteredModels2.gff3.gz,49.3,17877.0,47727.0,2.66974324551,29850.0,1.67,17877.0,47727.0,2.66974324551,29850.0,1.67,0,pass
Ascodesmis nigricans CBS 389.68 v1.0,Ascni1_AssemblyScaffolds.fasta.gz,Ascni1_GeneCatalog_genes_20141120.gff.gz,,51.6,,,,,,9622.0,29557.0,3.07181459156,19935.0,2.07,0,pass
Ascoidea rubescens NRRL Y17699 v1.0,Ascru1_AssemblyScaffolds.fasta.gz,Ascru1_GeneCatalog_genes_20111107.gff.gz,Ascru1.filtered_proteins.FilteredModels1.gff3.gz,32.9,6802.0,9433.0,1.38679800059,2605.0,0.38,6802.0,9433.0,1.38679800059,2631.0,0.39,0,pass
Ascocoryne sarcoides NRRL50072,Ascsa1_AssemblyScaffolds.fasta.gz,Ascsa1_GeneCatalog_genes_20140116.gff.gz,Ascsa1.filtered_proteins.ExternalModels.gff3.gz,46.4,10672.0,32297.0,3.02633058471,21625.0,2.03,10672.0,32297.0,3.02633058471,21625.0,2.03,0,pass
Ashbya gossypii ATCC 10895,Ashgo1_AssemblyScaffolds.fasta.gz,Ashgo1_GeneCatalog_genes_20130601.gff.gz,Ashgo1.filtered_proteins.AGDModels.gff3.gz,51.8,4768.0,5045.0,1.05809563758,276.0,0.06,4768.0,5045.0,1.05809563758,277.0,0.06,0,pass
Eremothecium gossypii ATCC 10895,Ashgo1_1_AssemblyScaffolds.fasta.gz,Ashgo1_1_GeneCatalog_genes_20140830.gff.gz,,51.8,,,,,,4768.0,5045.0,1.05809563758,277.0,0.06,0,pass
Aspergillus aculeatus ATCC16872 v1.1,Aspac1_scaffolds.fasta.gz,,Aspac1.filtered_proteins.FilteredModels6.gff3.gz,50.9,10845.0,35047.0,3.2316274781,24194.0,2.23,,,,,,0,pass
Aspergillus brasiliensis v1.0,Aspbr1_AssemblyScaffolds.fasta.gz,Aspbr1_GeneCatalog_genes_20120615.gff.gz,Aspbr1.filtered_proteins.FilteredModels1.gff3.gz,50.5,5496.0,17620.0,3.20596797671,12116.0,2.2,13000.0,41036.0,3.15661538462,28036.0,2.16,0,pass
Aspergillus carbonarius ITEM 5010 v3,Aspca3_scaffolds.fasta.gz,,Aspca3.filtered_proteins.FilteredModels6.gff3.gz,51.7,11624.0,40277.0,3.46498623538,28653.0,2.46,,,,,,2,pass
Aspergillus campestris IBT 28561 v1.0,Aspcam1_AssemblyScaffolds.fasta.gz,Aspcam1_GeneCatalog_genes_20140128.gff.gz,Aspcam1.filtered_proteins.FilteredModels1.gff3.gz,51.2,5712.0,18519.0,3.24212184874,12807.0,2.24,9764.0,31433.0,3.21927488734,21669.0,2.22,1,pass
Aspergillus clavatus NRRL 1 from AspGD,Aspcl1_AssemblyScaffolds.fasta.gz,Aspcl1_GeneCatalog_genes_20120815.gff.gz,Aspcl1.filtered_proteins.ExternalModels.gff3.gz,49.2,9121.0,27959.0,3.06534371231,18838.0,2.07,9121.0,27959.0,3.06534371231,18838.0,2.07,0,pass
Aspergillus flavus NRRL3357,Aspfl1_AssemblyScaffolds.fasta.gz,Aspfl1_GeneCatalog_genes_20121018.gff.gz,Aspfl1.filtered_proteins.ExternalModels.gff3.gz,48.3,2121.0,6927.0,3.26591230552,4806.0,2.27,12604.0,41318.0,3.27816566169,28714.0,2.28,56,pass
Aspergillus acidus v1.0,Aspfo1_AssemblyScaffolds.fasta.gz,Aspfo1_GeneCatalog_genes_20120615.gff.gz,Aspfo1.filtered_proteins.FilteredModels1.gff3.gz,49.1,2884.0,9179.0,3.18273231623,6292.0,2.18,13530.0,41966.0,3.10169992609,28436.0,2.1,0,pass
Aspergillus fumigatus Af293 from AspGD,Aspfu1_AssemblyScaffolds.fasta.gz,Aspfu1_GeneCatalog_genes_20120808.gff.gz,Aspfu1.filtered_proteins.ExternalModels.gff3.gz,49.8,9781.0,28608.0,2.92485430938,18827.0,1.92,9781.0,28608.0,2.92485430938,18827.0,1.92,84,pass
Aspergillus fumigatus A1163,Aspfu_A1163_1_AssemblyScaffolds.fasta.gz,Aspfu_A1163_1_GeneCatalog_genes_20140107.gff.gz,Aspfu_A1163_1.filtered_proteins.External_Models.gff3.gz,49.5,9916.0,29054.0,2.93001210165,19138.0,1.93,9916.0,29054.0,2.93001210165,19138.0,1.93,84,pass
Aspergillus glaucus v1.0,Aspgl1_AssemblyScaffolds.fasta.gz,Aspgl1_GeneCatalog_genes_20121005.gff.gz,Aspgl1.filtered_proteins.FilteredModels1.gff3.gz,49.4,1313.0,3915.0,2.98172124905,2601.0,1.98,11277.0,34242.0,3.03644586326,22965.0,2.04,1,fail
Aspergillus kawachii IFO 4308,Aspka1_1_AssemblyScaffolds.fasta.gz,Aspka1_1_GeneCatalog_genes_20140116.gff.gz,Aspka1_1.filtered_proteins.ExternalModels.gff3.gz,49.4,11475.0,35684.0,3.1097167756,24209.0,2.11,11475.0,35684.0,3.1097167756,24209.0,2.11,0,pass
Aspergillus niger ATCC 1015 v4.0,Aspni7_AssemblyScaffolds.fasta.gz,Aspni7_GeneCatalog_genes_20131226.gff.gz,Aspni7.filtered_proteins.FilteredModels1.gff3.gz,50.3,3110.0,10384.0,3.33890675241,7274.0,2.34,11910.0,40263.0,3.38060453401,28353.0,2.38,227,pass
Aspergillus niger CBS 513.88,Aspni_DSM_1_AssemblyScaffolds.fasta.gz,Aspni_DSM_1_GeneCatalog_genes_20130526.gff.gz,Aspni_DSM_1.filtered_proteins.ExternalModels.gff3.gz,50.4,14097.0,50390.0,3.57451940129,36293.0,2.57,14097.0,50390.0,3.57451940129,36293.0,2.57,227,pass
Aspergillus niger NRRL3,Aspni_NRRL3_1_AssemblyScaffolds.fasta.gz,Aspni_NRRL3_1_GeneCatalog_genes_20140311.gff.gz,Aspni_NRRL3_1.filtered_proteins.ExternalModels.gff3.gz,49.9,11846.0,38283.0,3.23172378862,26437.0,2.23,11846.0,38283.0,3.23172378862,26437.0,2.23,227,pass
Aspergillus niger van Tieghem ATCC 13496 v1.0,Aspni_bvT_1_AssemblyScaffolds.fasta.gz,Aspni_bvT_1_GeneCatalog_genes_20140302.gff.gz,Aspni_bvT_1.filtered_proteins.FilteredModels1.gff3.gz,49.5,3013.0,10285.0,3.41354132094,7272.0,2.41,12197.0,41928.0,3.43756661474,29731.0,2.44,227,pass
Aspergillus nidulans from AspGD,Aspnid1_AssemblyScaffolds.fasta.gz,Aspnid1_GeneCatalog_genes_20110130.gff.gz,Aspnid1.filtered_proteins.AspGD_genes.gff3.gz,50.4,10680.0,34743.0,3.25308988764,24063.0,2.25,10680.0,34743.0,3.25308988764,24063.0,2.25,49,pass
Aspergillus novofumigatus IBT 16806 v1.0,Aspnov1_AssemblyScaffolds.fasta.gz,Aspnov1_GeneCatalog_genes_20140201.gff.gz,Aspnov1.filtered_proteins.FilteredModels1.gff3.gz,49.1,7031.0,23819.0,3.38771156308,16788.0,2.39,11549.0,38633.0,3.3451381072,27084.0,2.35,1,pass
Aspergillus ochraceoroseus IBT 24754 v1.0,Aspoch1_AssemblyScaffolds.fasta.gz,Aspoch1_GeneCatalog_genes_20140127.gff.gz,Aspoch1.filtered_proteins.FilteredModels1.gff3.gz,44.2,8924.0,28780.0,3.22501120574,19856.0,2.23,8924.0,28780.0,3.22501120574,19856.0,2.23,1,pass
Aspergillus oryzae RIB40,Aspor1_AssemblyScaffolds.fasta.gz,Aspor1_GeneCatalog_genes_20120808.gff.gz,Aspor1.filtered_proteins.ExternalModels.gff3.gz,48.3,12030.0,35809.0,2.97664172901,23779.0,1.98,12030.0,35809.0,2.97664172901,23779.0,1.98,34,pass
Aspergillus phoenicis (Corda) Thom ATCC 13157 v1.0,Aspph1_AssemblyScaffolds.fasta.gz,Aspph1_GeneCatalog_genes_20140307.gff.gz,Aspph1.filtered_proteins.FilteredModels1.gff3.gz,49.5,11977.0,40328.0,3.36712031394,28351.0,2.37,11977.0,40328.0,3.36712031394,28351.0,2.37,0,pass
Aspergillus steynii IBT 23096 v1.0,Aspste1_AssemblyScaffolds.fasta.gz,Aspste1_GeneCatalog_genes_20140201.gff.gz,Aspste1.filtered_proteins.FilteredModels1.gff3.gz,49.1,1721.0,5516.0,3.20511330622,3795.0,2.21,13211.0,41873.0,3.1695556733,28662.0,2.17,1,pass
Aspergillus sydowii v1.0,Aspsy1_AssemblyScaffolds.fasta.gz,Aspsy1_GeneCatalog_genes_20120625.gff.gz,Aspsy1.filtered_proteins.FilteredModels1.gff3.gz,50.0,135.0,413.0,3.05925925926,278.0,2.06,13620.0,42880.0,3.1483113069,29260.0,2.15,2,pass
Aspergillus terreus NIH 2624,Aspte1_AssemblyScaffolds.fasta.gz,Aspte1_GeneCatalog_genes_20120919.gff.gz,Aspte1.filtered_proteins.ExternalModels.gff3.gz,52.9,1311.0,4171.0,3.18154080854,2860.0,2.18,10406.0,33116.0,3.18239477225,22710.0,2.18,0,pass
Aspergillus tubingensis v1.0,Asptu1_AssemblyScaffolds.fasta.gz,Asptu1_GeneCatalog_genes_20120711.gff.gz,Asptu1.filtered_proteins.FilteredModels1.gff3.gz,49.2,4857.0,15614.0,3.21474161005,10747.0,2.21,12322.0,39304.0,3.18974192501,26982.0,2.19,0,pass
Aspergillus versicolor v1.0,Aspve1_AssemblyScaffolds.fasta.gz,Aspve1_GeneCatalog_genes_20120621.gff.gz,Aspve1.filtered_proteins.FilteredModels1.gff3.gz,50.1,1804.0,5764.0,3.19512195122,3959.0,2.19,13228.0,41923.0,3.16926217115,28695.0,2.17,2,pass
Aspergillus wentii v1.0,Aspwe1_AssemblyScaffolds.fasta.gz,Aspwe1_GeneCatalog_genes_20120711.gff.gz,Aspwe1.filtered_proteins.FilteredModels1.gff3.gz,48.0,2195.0,6947.0,3.16492027335,4750.0,2.16,12442.0,38956.0,3.13100787655,26514.0,2.13,0,pass
Aspergillus zonatus v1.0,Aspzo1_AssemblyScaffolds.fasta.gz,Aspzo1_GeneCatalog_genes_20121010.gff.gz,Aspzo1.filtered_proteins.GeneCatalog_2013_12_03_15_38.gff3.gz,48.3,838.0,2614.0,3.11933174224,1776.0,2.12,11362.0,33813.0,2.97597254005,22451.0,1.98,0,pass
Atractiellales sp. v2.0,Atrsp2_AssemblyScaffolds.fasta.gz,Atrsp2_GeneCatalog_genes_20130826.gff.gz,Atrsp2.filtered_proteins.FilteredModels1.gff3.gz,48.5,13860.0,75615.0,5.45562770563,61755.0,4.46,17606.0,93311.0,5.29995456095,75705.0,4.3,0,pass
Aulographum hederae v2.0,Aulhe2_AssemblyScaffolds.fasta.gz,Aulhe2_GeneCatalog_genes_20130401.gff.gz,Aulhe2.filtered_proteins.FilteredModels1.gff3.gz,52.4,12127.0,32217.0,2.65663395729,20090.0,1.66,12127.0,32217.0,2.65663395729,20090.0,1.66,0,pass
Auricularia subglabra v2.0,Aurde3_1_AssemblyScaffolds.fasta.gz,Aurde3_1_GeneCatalog_genes_20130729.gff.gz,Aurde3_1.filtered_proteins.FilteredModels1.gff3.gz,58.6,25459.0,122185.0,4.7992851251,96722.0,3.8,25459.0,122185.0,4.7992851251,96726.0,3.8,0,pass
Aureobasidium pullulans var. melanogenum CBS 110374,Aurpu_var_mel1_AssemblyScaffolds.fasta.gz,Aurpu_var_mel1_GeneCatalog_genes_20130418.gff.gz,Aurpu_var_mel1.filtered_proteins.FilteredModels1.gff3.gz,49.8,7472.0,19075.0,2.5528640257,11603.0,1.55,10594.0,26920.0,2.54106097791,16326.0,1.54,3,pass
Aureobasidium pullulans var. namibiae CBS 147.97,Aurpu_var_nam1_AssemblyScaffolds.fasta.gz,Aurpu_var_nam1_GeneCatalog_genes_20130418.gff.gz,Aurpu_var_nam1.filtered_proteins.FilteredModels1.gff3.gz,51.1,6682.0,17345.0,2.59577970667,10663.0,1.6,10266.0,26609.0,2.59195402299,16343.0,1.59,3,pass
Aureobasidium pullulans var. pullulans EXF-150,Aurpu_var_pul1_AssemblyScaffolds.fasta.gz,Aurpu_var_pul1_GeneCatalog_genes_20130219.gff.gz,Aurpu_var_pul1.filtered_proteins.FilteredModels1.gff3.gz,50.0,11866.0,29461.0,2.48280802292,17595.0,1.48,11866.0,29461.0,2.48280802292,17595.0,1.48,3,pass
Aureobasidium pullulans var. subglaciale EXF-2481,Aurpu_var_sub1_AssemblyScaffolds.fasta.gz,Aurpu_var_sub1_GeneCatalog_genes_20120515.gff.gz,Aurpu_var_sub1.filtered_proteins.FilteredModels1.gff3.gz,50.8,10809.0,27144.0,2.51124063281,16316.0,1.51,10809.0,27144.0,2.51124063281,16335.0,1.51,3,pass
Auriscalpium vulgare FP105234-Sp v1.0,Aurvu1_AssemblyScaffolds.fasta.gz,Aurvu1_GeneCatalog_genes_20140723.gff.gz,,56.8,,,,,,16945.0,88492.0,5.22230746533,71547.0,4.22,1,pass
Babjeviella inositovora NRRL Y-12698 v1.0,Babin1_AssemblyScaffolds.fasta.gz,Babin1_GeneCatalog_genes_20120306.gff.gz,Babin1.filtered_proteins.FilteredModels2.gff3.gz,48.1,109.0,143.0,1.3119266055,34.0,0.31,6403.0,8100.0,1.26503201624,1697.0,0.27,0,pass
Backusella circina FSU 941 v1.0,Bacci1_AssemblyScaffolds.fasta.gz,Bacci1_GeneCatalog_genes_20130730.gff.gz,Bacci1.filtered_proteins.FilteredModels1.gff3.gz,34.5,993.0,4422.0,4.45317220544,3429.0,3.45,17039.0,72499.0,4.25488585011,55460.0,3.25,0,pass
Basidioascus undulatus,Basun1_AssemblyScaffolds.fasta.gz,Basun1_GeneCatalog_genes_20150127.gff.gz,,58.0,,,,,,6123.0,51966.0,8.48701616854,45843.0,7.49,0,pass
Batrachochytrium dendrobatidis JAM81 v1.0,Batde5_scaffolds.fasta.gz,,Batde5.filtered_proteins.FilteredModels2.gff3.gz,39.3,3180.0,14393.0,4.52610062893,11213.0,3.53,,,,,,10,pass
Baudoinia compniacensis UAMH 10762 (4089826) v1.0,Bauco1_AssemblyScaffolds.fasta.gz,Bauco1_GeneCatalog_genes_20110511.gff.gz,Bauco1.filtered_proteins.FilteredModels1.gff3.gz,54.8,10513.0,22548.0,2.14477313802,12004.0,1.14,10513.0,22548.0,2.14477313802,12035.0,1.14,0,pass
Beauveria bassiana ARSEF 2860,Beaba1_AssemblyScaffolds.fasta.gz,Beaba1_GeneCatalog_genes_20130926.gff.gz,Beaba1.filtered_proteins.ExternalModels.gff3.gz,51.5,694.0,1809.0,2.60662824207,1115.0,1.61,10364.0,28317.0,2.73224623697,17953.0,1.73,65,pass
Bimuria novae-zelandiae CBS 107.79 v1.0,Bimnz1_AssemblyScaffolds.fasta.gz,Bimnz1_GeneCatalog_genes_20150128.gff.gz,,44.6,,,,,,16681.0,44711.0,2.68035489479,28030.0,1.68,1,pass
Bjerkandera adusta v1.0,Bjead1_1_AssemblyScaffolds.fasta.gz,Bjead1_1_GeneCatalog_genes_20110614.gff.gz,Bjead1_1.filtered_proteins.FilteredModels2.gff3.gz,54.8,15473.0,86546.0,5.59335616881,71068.0,4.59,15473.0,86546.0,5.59335616881,71073.0,4.59,2,fail
Blumeria graminis f.sp. hordei DH14,Blugr1_AssemblyScaffolds.fasta.gz,Blugr1_GeneCatalog_genes_20131023.gff.gz,Blugr1.filtered_proteins.BluGenModels.gff3.gz,44.0,6470.0,17899.0,2.76646058733,11429.0,1.77,6470.0,17899.0,2.76646058733,11429.0,1.77,102,pass
Boletus edulis v1.0,Boled1_AssemblyScaffolds.fasta.gz,Boled1_GeneCatalog_genes_20130211.gff.gz,Boled1.filtered_proteins.FilteredModels1.gff3.gz,50.1,16933.0,82645.0,4.88070631312,65711.0,3.88,16933.0,82645.0,4.88070631312,65712.0,3.88,0,pass
Botryobasidium botryosum v1.0,Botbo1_AssemblyScaffolds.fasta.gz,Botbo1_GeneCatalog_genes_20110803.gff.gz,Botbo1.filtered_proteins.FilteredModels1.gff3.gz,52.4,16526.0,92254.0,5.58235507685,75714.0,4.58,16526.0,92254.0,5.58235507685,75728.0,4.58,1,pass
Botrytis cinerea v1.0,Botci1_AssemblyScaffolds.fasta.gz,Botci1_GeneCatalog_genes_20110903.gff.gz,Botci1.filtered_proteins.ExternalModels.gff3.gz,43.1,16447.0,43357.0,2.63616465009,26910.0,1.64,16447.0,43357.0,2.63616465009,26910.0,1.64,39,pass
Botryosphaeria dothidea,Botdo1_1_AssemblyScaffolds.fasta.gz,Botdo1_1_GeneCatalog_genes_20150128.gff.gz,,54.7,,,,,,14998.0,50095.0,3.34011201494,35097.0,2.34,0,pass
Byssothecium circinans CBS 675.92 v1.0,Bysci1_AssemblyScaffolds.fasta.gz,Bysci1_GeneCatalog_genes_20140627.gff.gz,Bysci1.filtered_proteins.FilteredModels1.gff3.gz,48.9,4700.0,12617.0,2.68446808511,7917.0,1.68,15785.0,42189.0,2.67272727273,26404.0,1.67,0,pass
Cadophora sp. DSE1049 v1.0,Cadsp1_AssemblyScaffolds.fasta.gz,Cadsp1_GeneCatalog_genes_20140317.gff.gz,Cadsp1.filtered_proteins.FilteredModels1.gff3.gz,45.8,22766.0,69285.0,3.04335412457,46519.0,2.04,22766.0,69285.0,3.04335412457,46519.0,2.04,1,pass
Calocera cornea v1.0,Calco1_AssemblyScaffolds.fasta.gz,Calco1_GeneCatalog_genes_20130417.gff.gz,,57.0,,,,,,13177.0,58493.0,4.43902253927,45316.0,3.44,0,pass
Calocera viscosa v1.0,Calvi1_AssemblyScaffolds.fasta.gz,Calvi1_GeneCatalog_genes_20130829.gff.gz,,56.4,,,,,,12378.0,56800.0,4.58878655679,44422.0,3.59,1,pass
Candida arabinofermentans NRRL YB-2248 v1.0,Canar1_AssemblyScaffolds.fasta.gz,Canar1_GeneCatalog_genes_20111127.gff.gz,Canar1.filtered_proteins.FilteredModels1.gff3.gz,34.7,5861.0,7828.0,1.33560825798,1928.0,0.33,5861.0,7828.0,1.33560825798,1967.0,0.34,4,pass
Candida caseinolytica Y-17796 v1.0,Canca1_AssemblyScaffolds.fasta.gz,Canca1_GeneCatalog_genes_20110525.gff.gz,Canca1.filtered_proteins.FilteredModels1.gff3.gz,45.4,4657.0,5603.0,1.20313506549,918.0,0.2,4657.0,5603.0,1.20313506549,946.0,0.2,0,pass
Candida tanzawaensis NRRL Y-17324 v1.0,Canta1_AssemblyScaffolds.fasta.gz,Canta1_GeneCatalog_genes_20120131.gff.gz,Canta1.filtered_proteins.FilteredModels1.gff3.gz,45.3,5895.0,7316.0,1.24105173876,1410.0,0.24,5895.0,7316.0,1.24105173876,1421.0,0.24,0,pass
Candida tenuis NRRL Y-1498 v1.0,Cante1_genomic_scaffolds.fasta.gz,,Cante1.filtered_proteins.FilteredModels3.gff3.gz,42.9,5533.0,6706.0,1.21200072294,1173.0,0.21,,,,,,3,pass
Catenaria anguillulae PL171 v1.0,Catan1_AssemblyScaffolds.fasta.gz,Catan1_GeneCatalog_genes_20120622.gff.gz,Catan1.filtered_proteins.FilteredModels1.gff3.gz,55.9,14188.0,35442.0,2.49802650127,21223.0,1.5,14188.0,35442.0,2.49802650127,21254.0,1.5,1,pass
Cenococcum geophilum 1.58 v2.0,Cenge3_AssemblyScaffolds.fasta.gz,Cenge3_GeneCatalog_genes_20130403.gff.gz,Cenge3.filtered_proteins.FilteredModels1.gff3.gz,37.5,14748.0,43156.0,2.92622728506,28408.0,1.93,14748.0,43156.0,2.92622728506,28408.0,1.93,1,pass
