shortName,longName,fastaName,gff3Name,gc,numGene,numExon,numIntron,intronDensity,rnaSeqCount
Aspfu1,Aspergillus fumigatus Af293 from AspGD,Aspfu1_AssemblyScaffolds.fasta.gz,Aspfu1.filtered_proteins.ExternalModels.gff3.gz,49.8,9781,28608,18827,1.92485430938,84
Aspfu_A1163_1,Aspergillus fumigatus A1163,Aspfu_A1163_1_AssemblyScaffolds.fasta.gz,Aspfu_A1163_1.filtered_proteins.External_Models.gff3.gz,49.5,9916,29054,19138,1.93001210165,84
Aspgl1,Aspergillus glaucus v1.0,Aspgl1_AssemblyScaffolds.fasta.gz,Aspgl1.filtered_proteins.FilteredModels1.gff3.gz,49.4,1313,3915,2601,1.98095963442,1
Aspni7,Aspergillus niger ATCC 1015 v4.0,Aspni7_AssemblyScaffolds.fasta.gz,Aspni7.filtered_proteins.FilteredModels1.gff3.gz,50.3,3110,10384,7274,2.33890675241,227
Aspni_DSM_1,Aspergillus niger CBS 513.88,Aspni_DSM_1_AssemblyScaffolds.fasta.gz,Aspni_DSM_1.filtered_proteins.ExternalModels.gff3.gz,50.4,14097,50390,36293,2.57451940129,227
Aspni_NRRL3_1,Aspergillus niger NRRL3,Aspni_NRRL3_1_AssemblyScaffolds.fasta.gz,Aspni_NRRL3_1.filtered_proteins.ExternalModels.gff3.gz,49.9,11846,38283,26437,2.23172378862,227
Aspni_bvT_1,Aspergillus niger van Tieghem ATCC 13496 v1.0,Aspni_bvT_1_AssemblyScaffolds.fasta.gz,Aspni_bvT_1.filtered_proteins.FilteredModels1.gff3.gz,49.5,3013,10285,7272,2.41354132094,227
Aspnid1,Aspergillus nidulans from AspGD,Aspnid1_AssemblyScaffolds.fasta.gz,Aspnid1.filtered_proteins.AspGD_genes.gff3.gz,50.4,10680,34743,24063,2.25308988764,49
Aspnov1,Aspergillus novofumigatus IBT 16806 v1.0,Aspnov1_AssemblyScaffolds.fasta.gz,Aspnov1.filtered_proteins.FilteredModels1.gff3.gz,49.1,7031,23819,16788,2.38771156308,1
Aspoch1,Aspergillus ochraceoroseus IBT 24754 v1.0,Aspoch1_AssemblyScaffolds.fasta.gz,Aspoch1.filtered_proteins.FilteredModels1.gff3.gz,44.2,8924,28780,19856,2.22501120574,1
Aspor1,Aspergillus oryzae RIB40,Aspor1_AssemblyScaffolds.fasta.gz,Aspor1.filtered_proteins.ExternalModels.gff3.gz,48.3,12030,35809,23779,1.97664172901,34
Aspste1,Aspergillus steynii IBT 23096 v1.0,Aspste1_AssemblyScaffolds.fasta.gz,Aspste1.filtered_proteins.FilteredModels1.gff3.gz,49.1,1721,5516,3795,2.20511330622,1
Aspsy1,Aspergillus sydowii v1.0,Aspsy1_AssemblyScaffolds.fasta.gz,Aspsy1.filtered_proteins.FilteredModels1.gff3.gz,50.0,135,413,278,2.05925925926,2
Aspve1,Aspergillus versicolor v1.0,Aspve1_AssemblyScaffolds.fasta.gz,Aspve1.filtered_proteins.FilteredModels1.gff3.gz,50.1,1804,5764,3959,2.19456762749,2
Aurpu_var_mel1,Aureobasidium pullulans var. melanogenum CBS 110374,Aurpu_var_mel1_AssemblyScaffolds.fasta.gz,Aurpu_var_mel1.filtered_proteins.FilteredModels1.gff3.gz,49.8,7472,19075,11603,1.5528640257,3
Aurpu_var_nam1,Aureobasidium pullulans var. namibiae CBS 147.97,Aurpu_var_nam1_AssemblyScaffolds.fasta.gz,Aurpu_var_nam1.filtered_proteins.FilteredModels1.gff3.gz,51.1,6682,17345,10663,1.59577970667,3
Aurpu_var_pul1,Aureobasidium pullulans var. pullulans EXF-150,Aurpu_var_pul1_AssemblyScaffolds.fasta.gz,Aurpu_var_pul1.filtered_proteins.FilteredModels1.gff3.gz,50.0,11866,29461,17595,1.48280802292,3
Aurpu_var_sub1,Aureobasidium pullulans var. subglaciale EXF-2481,Aurpu_var_sub1_AssemblyScaffolds.fasta.gz,Aurpu_var_sub1.filtered_proteins.FilteredModels1.gff3.gz,50.8,10809,27144,16316,1.50948283838,3
Batde5,Batrachochytrium dendrobatidis JAM81 v1.0,Batde5_scaffolds.fasta.gz,Batde5.filtered_proteins.FilteredModels2.gff3.gz,39.3,3180,14393,11213,3.52610062893,10
Beaba1,Beauveria bassiana ARSEF 2860,Beaba1_AssemblyScaffolds.fasta.gz,Beaba1.filtered_proteins.ExternalModels.gff3.gz,51.5,694,1809,1115,1.60662824207,65
Bjead1_1,Bjerkandera adusta v1.0,Bjead1_1_AssemblyScaffolds.fasta.gz,Bjead1_1.filtered_proteins.FilteredModels2.gff3.gz,54.8,15473,86546,71068,4.59303302527,2
Blugr1,Blumeria graminis f.sp. hordei DH14,Blugr1_AssemblyScaffolds.fasta.gz,Blugr1.filtered_proteins.BluGenModels.gff3.gz,44.0,6470,17899,11429,1.76646058733,102
Botbo1,Botryobasidium botryosum v1.0,Botbo1_AssemblyScaffolds.fasta.gz,Botbo1.filtered_proteins.FilteredModels1.gff3.gz,52.4,16526,92254,75714,4.5815079269,1
Botci1,Botrytis cinerea v1.0,Botci1_AssemblyScaffolds.fasta.gz,Botci1.filtered_proteins.ExternalModels.gff3.gz,43.1,16447,43357,26910,1.63616465009,39
Cadsp1,Cadophora sp. DSE1049 v1.0,Cadsp1_AssemblyScaffolds.fasta.gz,Cadsp1.filtered_proteins.FilteredModels1.gff3.gz,45.8,22766,69285,46519,2.04335412457,1
Catan1,Catenaria anguillulae PL171 v1.0,Catan1_AssemblyScaffolds.fasta.gz,Catan1.filtered_proteins.FilteredModels1.gff3.gz,55.9,14188,35442,21223,1.49584155624,1
Cenge3,Cenococcum geophilum 1.58 v2.0,Cenge3_AssemblyScaffolds.fasta.gz,Cenge3.filtered_proteins.FilteredModels1.gff3.gz,37.5,14748,43156,28408,1.92622728506,1
Cersu1,Ceriporiopsis (Gelatoporia) subvermispora B,Ceriporiopsis_subvermispora.unmasked.fasta.gz,Cersu1.filtered_proteins.FilteredModels1.gff3.gz,53.8,12125,80856,68730,5.66845360825,4
Chagl_1,Chaetomium globosum v1.0,Chagl_1_assembly_scaffolds.fasta.gz,Chagl_1.filtered_proteins.Chagl_1_BroadGeneModels.gff3.gz,55.6,398,1287,889,2.23366834171,18
Chalo1,Chalara longipes BDJ v1.0,Chalo1_AssemblyScaffolds.fasta.gz,Chalo1.filtered_proteins.FilteredModels1.gff3.gz,47.5,8505,26311,17806,2.0935920047,1
Chove1,Choiromyces venosus 120613-1 v1.0,Chove1_AssemblyScaffolds.fasta.gz,Chove1.filtered_proteins.FilteredModels1.gff3.gz,43.5,12978,37930,24952,1.92263831099,1
Clafu1,Cladosporium fulvum v1.0,Clafu1_AssemblyScaffolds.fasta.gz,Clafu1.filtered_proteins.ExternalModels.gff3.gz,48.8,14127,30740,16613,1.17597508317,7
Clapy1,Clavicorona pyxidata HHB10654 v1.0,Clapy1_AssemblyScaffolds.fasta.gz,Clapy1.filtered_proteins.FilteredModels1.gff3.gz,54.7,15130,85828,70698,4.6727032386,1
CocheC4_1,Cochliobolus heterostrophus C4 v1.0,CocheC4_1_AssemblyScaffolds.fasta.gz,CocheC4_1.filtered_proteins.FilteredModels1.gff3.gz,50.7,6759,18075,11315,1.67406421068,2
Cocim1,Coccidioides immitis RS ,Cocim1_AssemblyScaffolds.fasta.gz,Cocim1.filtered_proteins.BroadModels.gff3.gz,46.0,9910,32304,22394,2.25973763875,6
Cocsa1,Cochliobolus sativus ND90Pr v1.0,Cocsa1_AssemblyScaffolds.fasta.gz,Cocsa1.filtered_proteins.FilteredModels1.gff3.gz,49.8,4693,12392,7697,1.64010227999,3
Colgr1,Colletotrichum graminicola M1.001,Colgr1_AssemblyScaffolds.fasta.gz,Colgr1.filtered_proteins.ExternalModels.gff3.gz,49.1,12006,32967,20961,1.74587706147,23
Colhi1,Colletotrichum higginsianum IMI 349063,Colhi1_AssemblyScaffolds.fasta.gz,Colhi1.filtered_proteins.BroadModels.gff3.gz,55.1,4734,12297,7563,1.59759188847,18
Conco1,Conidiobolus coronatus NRRL28638 v1.0,Conco1_AssemblyScaffolds.fasta.gz,Conco1.filtered_proteins.FilteredModels1.gff3.gz,27.7,10635,29531,18889,1.77611659614,2
Conli1,Coniochaeta ligniaria CBS 111746,Conli1_AssemblyScaffolds.fasta.gz,Conli1.filtered_proteins.ExternalModels.gff3.gz,51.9,12318,36736,24418,1.98230232181,1
Conlig1,Coniochaeta ligniaria NRRL 30616 v1.0,Conlig1_AssemblyScaffolds.fasta.gz,Conlig1.filtered_proteins.FilteredModels1.gff3.gz,51.7,13657,36216,22559,1.65182690196,1
Conpu1,Coniophora puteana v1.0,Conpu1_AssemblyScaffolds.fasta.gz,Conpu1.filtered_proteins.FilteredModels1.gff3.gz,52.4,13761,84144,70383,5.11467189884,2
Copci1,Coprinopsis cinerea,Coprinopsis_cinerea.unmasked.fasta.gz,Copci1.filtered_proteins.BroadModels1.gff3.gz,51.7,13393,75796,62403,4.65937430001,63
Copci_AmutBmut1,Coprinopsis cinerea AmutBmut pab1-1 v1.0,Copci_AmutBmut1_AssemblyScaffolds.fasta.gz,Copci_AmutBmut1.filtered_proteins.FilteredModels1.gff3.gz,51.6,14245,77019,62774,4.40673920674,63
Corca1,Corynespora cassiicola CCP v1.0,Corca1_AssemblyScaffolds.fasta.gz,Corca1.filtered_proteins.FilteredModels1.gff3.gz,50.6,17166,44554,27388,1.59547943609,4
Corgl3,Cortinarius glaucopus AT 2004 276 v2.0,Corgl3_AssemblyScaffolds.fasta.gz,Corgl3.filtered_proteins.FilteredModels7.gff3.gz,44.1,20377,102875,82497,4.04853511312,1
Cormi1,Cordyceps militaris CM01,Cormi1_AssemblyScaffolds.fasta.gz,Cormi1.filtered_proteins.ExternalModels.gff3.gz,51.4,9651,28872,19221,1.99160708735,5
Croqu1,Cronartium quercuum f. sp. fusiforme G11 v1.0,Croqu1_AssemblyScaffolds.fasta.gz,Croqu1.filtered_proteins.FilteredModels1.gff3.gz,41.1,6941,31337,24360,3.50958075205,5
Cryne_H99_1,Cryptococcus neoformans var. grubii H99,Cryptococcus_neoformans_H99.unmasked.fasta.gz,Cryne_H99_1.filtered_proteins.BroadModels1.gff3.gz,48.2,6967,42284,35317,5.06918329267,556
Cryne_JEC21_1,Cryptococcus neoformans var neoformans JEC21,Cryne_JEC21_1_AssemblyScaffolds.fasta.gz,Cryne_JEC21_1.filtered_proteins.ExternalModels.gff3.gz,48.5,6475,41896,35421,5.47042471042,556
DalEC12_1,Daldinia eschscholzii EC12 v1.0,DalEC12_1_AssemblyScaffolds.fasta.gz,DalEC12_1.filtered_proteins.FilteredModels1.gff3.gz,45.0,11173,32240,21043,1.88337957576,6
Didex1,Didymella exigua CBS 183.55 v1.0,Didex1_AssemblyScaffolds.fasta.gz,Didex1.filtered_proteins.FilteredModels1.gff3.gz,52.8,12394,30433,18003,1.4525576892,1
Disac1,Dissoconium aciculare v1.0,Disac1_AssemblyScaffolds.fasta.gz,Disac1.filtered_proteins.FilteredModels2.gff3.gz,52.7,10299,22319,12020,1.16710360229,1
Exova1,Exobasidium vaccinii MPITM v1.0,Exova1_AssemblyScaffolds.fasta.gz,Exova1.filtered_proteins.FilteredModels1.gff3.gz,43.5,7453,20809,13356,1.79203005501,1
Fibra1,Fibroporia radiculosa TFFH 294,Fibra1_AssemblyScaffolds.fasta.gz,Fibra1.filtered_proteins.ExternalModels.gff3.gz,51.2,9262,60105,50843,5.48941913194,7
Fompi3,Fomitopsis pinicola FP-58527 SS1 v3.0,Fompi3_AssemblyScaffolds.fasta.gz,Fompi3.filtered_proteins.FilteredModels2.gff3.gz,55.7,13885,77240,63352,4.56262153403,4
Fusgr1,Fusarium graminearum v1.0,Fusgr1_AssemblyScaffolds.fasta.gz,Fusgr1.filtered_proteins.ExternalModels.gff3.gz,48.3,4547,12674,8127,1.78733230702,101
Fusox1,Fusarium oxysporum v1.0,Fusox1_AssemblyScaffolds.fasta.gz,Fusox1.filtered_proteins.ExternalModels.gff3.gz,48.4,1790,4949,3159,1.76480446927,72
Fusve1,Fusarium verticillioides 7600,Fusve1_AssemblyScaffolds.fasta.gz,Fusve1.filtered_proteins.BroadModels.gff3.gz,48.7,12512,34851,22339,1.78540601023,20
Ganpr1,Gonapodya prolifera v1.0,Ganpr1_AssemblyScaffolds.fasta.gz,Ganpr1.filtered_proteins.FilteredModels3.gff3.gz,52.4,13902,77525,63608,4.57545676881,1
Gloci1,Glomerella cingulata 23 (Colletotrichum gloeosporoides 23) v1.0,Gloci1_AssemblyScaffolds.fasta.gz,Gloci1.filtered_proteins.FilteredModels1.gff3.gz,52.4,2276,6231,3954,1.73725834798,3
Gloin1,Rhizophagus irregularis DAOM 181602 v1.0,Gloin1_AssemblyScaffolds.fasta.gz,Gloin1.filtered_proteins.FilteredModels1.gff3.gz,27.7,396,1382,986,2.4898989899,2
Grocl1,Grosmannia clavigera kw1407,Grocl1_AssemblyScaffolds.fasta.gz,Grocl1.filtered_proteins.ExternalModels.gff3.gz,53.4,8312,23727,15415,1.85454764196,22
Gymau1,Gymnascella aurantiaca v1.0,Gymau1_AssemblyScaffolds.fasta.gz,Gymau1.filtered_proteins.FilteredModels2.gff3.gz,51.2,9106,28388,19282,2.1175049418,1
Gymlu1,Gymnopus luxurians v1.0,Gymlu1_AssemblyScaffolds.fasta.gz,Gymlu1.filtered_proteins.FilteredModels1.gff3.gz,45.1,22057,116032,93952,4.25950945278,2
Hebcy2,Hebeloma cylindrosporum h7 v2.0,Hebcy2_AssemblyScaffolds.fasta.gz,Hebcy2.filtered_proteins.FilteredModels1.gff3.gz,48.4,15382,80629,65230,4.24067091406,11
Hetan2,Heterobasidion annosum v2.0,Heterobasidion_annosum.AssembledScaffolds.fasta.gz,Hetan2.filtered_proteins.FrozenGeneCatalog_20120113.gff3.gz,52.2,13383,72148,58763,4.39086901293,4
Hisca1,Histoplasma capsulatum NAm1,Hisca1_AssemblyScaffolds.fasta.gz,Hisca1.filtered_proteins.BroadModels.gff3.gz,46.2,9251,30599,21348,2.30764241704,28
Hydpi2,Hydnomerulius pinastri v2.0,Hydpi2_AssemblyScaffolds.fasta.gz,Hydpi2.filtered_proteins.FilteredModels1.gff3.gz,50.8,13270,77435,64148,4.83406179352,2
HypCI4A_1,Hypoxylon sp. CI-4A v1.0,HypCI4A_1_AssemblyScaffolds.fasta.gz,HypCI4A_1.filtered_proteins.FilteredModels1.gff3.gz,45.8,11712,33212,21476,1.83367486339,12
HypCO275_1,Hypoxylon sp. CO27-5 v1.0,HypCO275_1_AssemblyScaffolds.fasta.gz,HypCO275_1.filtered_proteins.FilteredModels1.gff3.gz,40.5,4461,13029,8562,1.91930060525,12
HypEC38_1,Hypoxylon sp. EC38 v1.0,HypEC38_1_AssemblyScaffolds.fasta.gz,HypEC38_1.filtered_proteins.FilteredModels1.gff3.gz,40.1,12261,35018,22748,1.85531359595,12
Hypsu1,Hypholoma sublateritium v1.0,Hypsu1_AssemblyScaffolds.fasta.gz,Hypsu1.filtered_proteins.FilteredModels1.gff3.gz,51.0,17911,94703,76784,4.28697448495,1
Lacam1,Laccaria amethystina LaAM-08-1 v1.0,Lacam1_AssemblyScaffolds.fasta.gz,Lacam1.filtered_proteins.FilteredModels1.gff3.gz,46.9,21066,94674,73587,3.49316434064,1
Lacbi2,Laccaria bicolor v2.0,Lacbi2_AssemblyScaffolds.fasta.gz,Lacbi2.filtered_proteins.FilteredModels1.gff3.gz,46.9,23132,122070,98914,4.27606778489,2
Lepmu1,Leptosphaeria maculans,Lepmu1_AssemblyScaffolds.fasta.gz,Lepmu1.filtered_proteins.ExternalModels.gff3.gz,45.2,12469,35201,22732,1.82308124148,10
Leumo1,Leucogyrophana mollusca KUC20120723A-06 v1.0,Leumo1_AssemblyScaffolds.fasta.gz,Leumo1.filtered_proteins.FilteredModels1.gff3.gz,51.7,14619,86061,71442,4.88692797045,1
Lipst1_1,Lipomyces starkeyi NRRL Y-11557 v1.0,Lipst1_1_AssemblyScaffolds.fasta.gz,Lipst1_1.filtered_proteins.FilteredModels1.gff3.gz,46.9,8192,23318,15103,1.84362792969,1
Lopma1,Lophiostoma macrostomum v1.0,Lopma1_AssemblyScaffolds.fasta.gz,Lopma1.filtered_proteins.FilteredModels1.gff3.gz,50.8,7306,20438,13132,1.79742677252,1
Lopmy1,Lophium mytilinum CBS 269.34 v1.0,Lopmy1_AssemblyScaffolds.fasta.gz,Lopmy1.filtered_proteins.FilteredModels1.gff3.gz,50.1,15153,43632,28479,1.87942981588,1
Macan1,Macroventuria anomochaeta CBS 525.71 v1.0,Macan1_AssemblyScaffolds.fasta.gz,Macan1.filtered_proteins.FilteredModels1.gff3.gz,52.6,12954,32261,19307,1.49042766713,1
Maggr1,Magnaporthe grisea v1.0,Maggr1_AssemblyScaffolds.fasta.gz,Maggr1.filtered_proteins.ExternalModels.gff3.gz,51.6,11054,30705,19651,1.77772751945,1
Melva1,Meliniomyces variabilis F v1.0,Melva1_AssemblyScaffolds.fasta.gz,Melva1.filtered_proteins.FilteredModels1.gff3.gz,47.6,20389,61938,41549,2.03781450782,1
Metac1,Metarhizium acridum CQMa 102,Metac1_AssemblyScaffolds.fasta.gz,Metac1.filtered_proteins.ExternalModels.gff3.gz,49.9,6046,16297,10251,1.69550115779,2
Metan1,Metarhizium robertsii ARSEF 23,Metan1_AssemblyScaffolds.fasta.gz,Metan1.filtered_proteins.ExternalModels.gff3.gz,51.5,10583,28326,17743,1.67655674194,10
Micca1,Microsporum canis CBS 113480,Micca1_AssemblyScaffolds.fasta.gz,Micca1.filtered_proteins.BroadModels.gff3.gz,47.5,8915,28611,19696,2.20931015143,8
Mixos1,Mixia osmundae IAM 14324 v1.0,Mixos1_AssemblyScaffolds.fasta.gz,Mixos1.filtered_proteins.FilteredModels1.gff3.gz,55.5,6903,31373,24461,3.54353179777,1
Monha1,Monacrosporium haptotylum CBS 200.50,Monha1_AssemblyScaffolds.fasta.gz,Monha1.filtered_proteins.ExternalModels.gff3.gz,45.3,10959,36264,25305,2.30906104572,3
Monpe1_1,Moniliophthora perniciosa FA553,Monpe1_1_AssemblyScaffolds.fasta.gz,Monpe1_1.filtered_proteins.ExternalModels.gff3.gz,47.9,13560,46187,32627,2.40612094395,10
Monpu1,Monascus purpureus v1.0,Monpu1_AssemblyScaffolds.fasta.gz,Monpu1.filtered_proteins.FilteredModels1.gff3.gz,49.0,8918,28491,19573,2.19477461314,1
Morco1,Morchella conica CCBAS932 v1.0,Morco1_AssemblyScaffolds.fasta.gz,Morco1.filtered_proteins.FilteredModels1.gff3.gz,47.2,10909,38272,27363,2.50829590247,1
Mucci2,Mucor circinelloides CBS277.49 v2.0,Mucor_circinelloides_v2_scaffolds.fasta.gz,Mucci2.filtered_proteins.FilteredModels1.gff3.gz,42.2,5075,18947,13872,2.73339901478,16
Neole1,Neolentinus lepideus v1.0,Neole1_AssemblyScaffolds.fasta.gz,Neole1.filtered_proteins.FilteredModels1.gff3.gz,50.9,13164,75210,62046,4.71330902461,1
Neopa1,Neofusicoccum parvum UCRNP2,Neopa1_AssemblyScaffolds.fasta.gz,Neopa1.filtered_proteins.ExternalModels.gff3.gz,56.8,10366,32758,22392,2.16013891569,12
Neucr2,Neurospora crassa OR74A v2.0,Neucr2_AssemblyScaffolds.fasta.gz,Neucr2.filtered_proteins.BroadModels.gff3.gz,48.3,10785,30794,20009,1.85526193788,506
Neucr_trp3_1,Neurospora crassa FGSC 73 trp-3 v1.0,Neucr_trp3_1_AssemblyScaffolds.fasta.gz,Neucr_trp3_1.filtered_proteins.FilteredModels3.gff3.gz,48.9,2711,7335,4618,1.70343046846,506
Neudi1,Neurospora discreta FGSC 8579 mat A,Neurospora_discreta.AssemblyScaffolds.fasta.gz,Neudi1.filtered_proteins.FilteredModels2.gff3.gz,49.5,389,1001,612,1.57326478149,8
Neute_mat_a1,Neurospora tetrasperma FGSC 2509 mat a v1.0,Neurospora_tetrasperma_mata_AssemblyScaffolds.fasta.gz,Neute_mat_a1.filtered_proteins.FilteredModels1.gff3.gz,49.7,1273,3584,2311,1.81539670071,8
Obbri1,Obba rivulosa 3A-2 v1.0,Obbri1_AssemblyScaffolds.fasta.gz,Obbri1.filtered_proteins.FilteredModels1.gff3.gz,53.6,13206,79539,66333,5.02294411631,1
Oidma1,Oidiodendron maius Zn v1.0,Oidma1_AssemblyScaffolds.fasta.gz,Oidma1.filtered_proteins.FilteredModels1.gff3.gz,47.1,510,1471,961,1.88431372549,6
Ophdi1,Ophiobolus disseminans CBS 113818 v1.0,Ophdi1_AssemblyScaffolds.fasta.gz,Ophdi1.filtered_proteins.FilteredModels1.gff3.gz,51.7,16027,41581,25554,1.59443439196,1
Paxin1,Paxillus involutus ATCC 200175 v1.0,Paxin1_AssemblyScaffolds.fasta.gz,Paxin1.filtered_proteins.FilteredModels1.gff3.gz,50.2,17968,89577,71601,3.98491763134,6
Penac1,Talaromyces aculeatus ATCC 10409 v1.0,Penac1_AssemblyScaffolds.fasta.gz,Penac1.filtered_proteins.FilteredModels1.gff3.gz,46.6,13793,43599,29806,2.16095120713,1
PenbrAgRF18_1,Penicillium brevicompactum AgRF18 v1.0,PenbrAgRF18_1_AssemblyScaffolds.fasta.gz,PenbrAgRF18_1.filtered_proteins.FilteredModels1.gff3.gz,49.3,7183,21801,14618,2.03508283447,1
Pench1,Penicillium chrysogenum v1.0,Pench1_AssemblyScaffolds.fasta.gz,Pench1.filtered_proteins.FilteredModels1.gff3.gz,48.8,11396,35513,24117,2.11626886627,3
PenchWisc1_1,Penicillium chrysogenum Wisconsin 54-1255,PenchWisc1_1_AssemblyScaffolds.fasta.gz,PenchWisc1_1.filtered_proteins.ExternalModels.gff3.gz,49.0,13671,41997,28326,2.07197717797,3
Pendi1,Penicillium digitatum PHI26,Pendi1_AssemblyScaffolds.fasta.gz,Pendi1.filtered_proteins.ExternalModels.gff3.gz,48.9,9118,24305,15187,1.66560649265,8
Penex1,Penicillium expansum ATCC 24692 v1.0,Penex1_AssemblyScaffolds.fasta.gz,Penex1.filtered_proteins.FilteredModels1.gff3.gz,47.4,3749,11674,7925,2.11389703921,8
Penja1,Penicillium janthinellum ATCC 10455 v1.0,Penja1_AssemblyScaffolds.fasta.gz,Penja1.filtered_proteins.FilteredModels1.gff3.gz,51.0,6663,20819,14156,2.12456851268,2
Penla1,Penicillium lanosocoeruleum ATCC 48919 v1.0,Penla1_AssemblyScaffolds.fasta.gz,Penla1.filtered_proteins.FilteredModels1.gff3.gz,48.7,7416,23017,15601,2.10369471413,1
Penox1,Penicillium oxalicum 114-2,Penox1_AssemblyScaffolds.fasta.gz,Penox1.filtered_proteins.ExternalModels.gff3.gz,50.7,9979,29452,19473,1.95139793566,40
Penra1,Penicillium raistrickii ATCC 10490 v1.0,Penra1_AssemblyScaffolds.fasta.gz,Penra1.filtered_proteins.FilteredModels1.gff3.gz,46.6,10210,31562,21352,2.09128305583,1
Phaal1,Phaeoacremonium aleophilum UCRPA7,Phaal1_AssemblyScaffolds.fasta.gz,Phaal1.filtered_proteins.ExternalModels.gff3.gz,49.7,8834,24561,15727,1.78028073353,9
Phaca1,Phanerochaete carnosa HHB-10118-Sp v1.0,Phaca1_AssemblyScaffolds.fasta.gz,Phaca1.filtered_proteins.FilteredModels4.gff3.gz,53.1,13937,74759,60819,4.363851618,1
Phchr2,Phanerochaete chrysosporium RP-78 v2.2,Phchr2_AssemblyScaffolds.fasta.gz,Phchr2.filtered_proteins.FilteredModels1.gff3.gz,56.8,13602,73603,60001,4.41118953095,6
Phlgi1,Phlebiopsis gigantea v1.0,Phlgi1_AssemblyScaffolds.fasta.gz,Phlgi1.filtered_proteins.FilteredModels2.gff3.gz,54.8,11891,71317,59426,4.99756118072,8
Phybl2,Phycomyces blakesleeanus NRRL1555 v2.0,Phycomyces_blakesleeanus_v2_scaffolds.fasta.gz,Phybl2.filtered_proteins.FilteredModels3.gff3.gz,35.8,1551,6986,5435,3.50419084462,1
