shortName,shortName,longName,fastaName,gffName,gff3Name,gc,numGeneGff3,numExonGff3,exonDensityGff3,numIntronGff3,intronDensityGff3,numGeneGff,numExonGff,exonDensityGff,numIntronGff,intronDensityGff,rnaSeqCount,ES
Aspoch1,Aspoch1,Aspergillus ochraceoroseus IBT 24754 v1.0,Aspoch1_AssemblyScaffolds.fasta.gz,Aspoch1_GeneCatalog_genes_20140127.gff.gz,Aspoch1.filtered_proteins.FilteredModels1.gff3.gz,44.2,8924.0,28780.0,3.22501120574,19856.0,2.23,8924.0,28780.0,3.22501120574,19856.0,2.23,1,pass
Aspor1,Aspor1,Aspergillus oryzae RIB40,Aspor1_AssemblyScaffolds.fasta.gz,Aspor1_GeneCatalog_genes_20120808.gff.gz,Aspor1.filtered_proteins.ExternalModels.gff3.gz,48.3,12030.0,35809.0,2.97664172901,23779.0,1.98,12030.0,35809.0,2.97664172901,23779.0,1.98,34,pass
Aspph1,Aspph1,Aspergillus phoenicis (Corda) Thom ATCC 13157 v1.0,Aspph1_AssemblyScaffolds.fasta.gz,Aspph1_GeneCatalog_genes_20140307.gff.gz,Aspph1.filtered_proteins.FilteredModels1.gff3.gz,49.5,11977.0,40328.0,3.36712031394,28351.0,2.37,11977.0,40328.0,3.36712031394,28351.0,2.37,0,pass
Aspste1,Aspste1,Aspergillus steynii IBT 23096 v1.0,Aspste1_AssemblyScaffolds.fasta.gz,Aspste1_GeneCatalog_genes_20140201.gff.gz,Aspste1.filtered_proteins.FilteredModels1.gff3.gz,49.1,1721.0,5516.0,3.20511330622,3795.0,2.21,13211.0,41873.0,3.1695556733,28662.0,2.17,1,pass
Aspsy1,Aspsy1,Aspergillus sydowii v1.0,Aspsy1_AssemblyScaffolds.fasta.gz,Aspsy1_GeneCatalog_genes_20120625.gff.gz,Aspsy1.filtered_proteins.FilteredModels1.gff3.gz,50.0,135.0,413.0,3.05925925926,278.0,2.06,13620.0,42880.0,3.1483113069,29260.0,2.15,2,pass
Aspte1,Aspte1,Aspergillus terreus NIH 2624,Aspte1_AssemblyScaffolds.fasta.gz,Aspte1_GeneCatalog_genes_20120919.gff.gz,Aspte1.filtered_proteins.ExternalModels.gff3.gz,52.9,1311.0,4171.0,3.18154080854,2860.0,2.18,10406.0,33116.0,3.18239477225,22710.0,2.18,0,pass
Asptu1,Asptu1,Aspergillus tubingensis v1.0,Asptu1_AssemblyScaffolds.fasta.gz,Asptu1_GeneCatalog_genes_20120711.gff.gz,Asptu1.filtered_proteins.FilteredModels1.gff3.gz,49.2,4857.0,15614.0,3.21474161005,10747.0,2.21,12322.0,39304.0,3.18974192501,26982.0,2.19,0,pass
Aspve1,Aspve1,Aspergillus versicolor v1.0,Aspve1_AssemblyScaffolds.fasta.gz,Aspve1_GeneCatalog_genes_20120621.gff.gz,Aspve1.filtered_proteins.FilteredModels1.gff3.gz,50.1,1804.0,5764.0,3.19512195122,3959.0,2.19,13228.0,41923.0,3.16926217115,28695.0,2.17,2,pass
Aspwe1,Aspwe1,Aspergillus wentii v1.0,Aspwe1_AssemblyScaffolds.fasta.gz,Aspwe1_GeneCatalog_genes_20120711.gff.gz,Aspwe1.filtered_proteins.FilteredModels1.gff3.gz,48.0,2195.0,6947.0,3.16492027335,4750.0,2.16,12442.0,38956.0,3.13100787655,26514.0,2.13,0,pass
Aspzo1,Aspzo1,Aspergillus zonatus v1.0,Aspzo1_AssemblyScaffolds.fasta.gz,Aspzo1_GeneCatalog_genes_20121010.gff.gz,Aspzo1.filtered_proteins.GeneCatalog_2013_12_03_15_38.gff3.gz,48.3,838.0,2614.0,3.11933174224,1776.0,2.12,11362.0,33813.0,2.97597254005,22451.0,1.98,0,pass
Atrsp2,Atrsp2,Atractiellales sp. v2.0,Atrsp2_AssemblyScaffolds.fasta.gz,Atrsp2_GeneCatalog_genes_20130826.gff.gz,Atrsp2.filtered_proteins.FilteredModels1.gff3.gz,48.5,13860.0,75615.0,5.45562770563,61755.0,4.46,17606.0,93311.0,5.29995456095,75705.0,4.3,0,pass
Aulhe2,Aulhe2,Aulographum hederae v2.0,Aulhe2_AssemblyScaffolds.fasta.gz,Aulhe2_GeneCatalog_genes_20130401.gff.gz,Aulhe2.filtered_proteins.FilteredModels1.gff3.gz,52.4,12127.0,32217.0,2.65663395729,20090.0,1.66,12127.0,32217.0,2.65663395729,20090.0,1.66,0,pass
Aurde3_1,Aurde3_1,Auricularia subglabra v2.0,Aurde3_1_AssemblyScaffolds.fasta.gz,Aurde3_1_GeneCatalog_genes_20130729.gff.gz,Aurde3_1.filtered_proteins.FilteredModels1.gff3.gz,58.6,25459.0,122185.0,4.7992851251,96722.0,3.8,25459.0,122185.0,4.7992851251,96726.0,3.8,0,pass
Aurpu_var_mel1,Aurpu_var_mel1,Aureobasidium pullulans var. melanogenum CBS 110374,Aurpu_var_mel1_AssemblyScaffolds.fasta.gz,Aurpu_var_mel1_GeneCatalog_genes_20130418.gff.gz,Aurpu_var_mel1.filtered_proteins.FilteredModels1.gff3.gz,49.8,7472.0,19075.0,2.5528640257,11603.0,1.55,10594.0,26920.0,2.54106097791,16326.0,1.54,3,pass
Aurpu_var_nam1,Aurpu_var_nam1,Aureobasidium pullulans var. namibiae CBS 147.97,Aurpu_var_nam1_AssemblyScaffolds.fasta.gz,Aurpu_var_nam1_GeneCatalog_genes_20130418.gff.gz,Aurpu_var_nam1.filtered_proteins.FilteredModels1.gff3.gz,51.1,6682.0,17345.0,2.59577970667,10663.0,1.6,10266.0,26609.0,2.59195402299,16343.0,1.59,3,pass
Aurpu_var_pul1,Aurpu_var_pul1,Aureobasidium pullulans var. pullulans EXF-150,Aurpu_var_pul1_AssemblyScaffolds.fasta.gz,Aurpu_var_pul1_GeneCatalog_genes_20130219.gff.gz,Aurpu_var_pul1.filtered_proteins.FilteredModels1.gff3.gz,50.0,11866.0,29461.0,2.48280802292,17595.0,1.48,11866.0,29461.0,2.48280802292,17595.0,1.48,3,pass
Aurpu_var_sub1,Aurpu_var_sub1,Aureobasidium pullulans var. subglaciale EXF-2481,Aurpu_var_sub1_AssemblyScaffolds.fasta.gz,Aurpu_var_sub1_GeneCatalog_genes_20120515.gff.gz,Aurpu_var_sub1.filtered_proteins.FilteredModels1.gff3.gz,50.8,10809.0,27144.0,2.51124063281,16316.0,1.51,10809.0,27144.0,2.51124063281,16335.0,1.51,3,pass
Aurvu1,Aurvu1,Auriscalpium vulgare FP105234-Sp v1.0,Aurvu1_AssemblyScaffolds.fasta.gz,Aurvu1_GeneCatalog_genes_20140723.gff.gz,,56.8,,,,,,16945.0,88492.0,5.22230746533,71547.0,4.22,1,pass
Babin1,Babin1,Babjeviella inositovora NRRL Y-12698 v1.0,Babin1_AssemblyScaffolds.fasta.gz,Babin1_GeneCatalog_genes_20120306.gff.gz,Babin1.filtered_proteins.FilteredModels2.gff3.gz,48.1,109.0,143.0,1.3119266055,34.0,0.31,6403.0,8100.0,1.26503201624,1697.0,0.27,0,pass
Bacci1,Bacci1,Backusella circina FSU 941 v1.0,Bacci1_AssemblyScaffolds.fasta.gz,Bacci1_GeneCatalog_genes_20130730.gff.gz,Bacci1.filtered_proteins.FilteredModels1.gff3.gz,34.5,993.0,4422.0,4.45317220544,3429.0,3.45,17039.0,72499.0,4.25488585011,55460.0,3.25,0,pass
Basun1,Basun1,Basidioascus undulatus,Basun1_AssemblyScaffolds.fasta.gz,Basun1_GeneCatalog_genes_20150127.gff.gz,,58.0,,,,,,6123.0,51966.0,8.48701616854,45843.0,7.49,0,pass
Batde5,Batde5,Batrachochytrium dendrobatidis JAM81 v1.0,Batde5_scaffolds.fasta.gz,,Batde5.filtered_proteins.FilteredModels2.gff3.gz,39.3,3180.0,14393.0,4.52610062893,11213.0,3.53,,,,,,10,pass
Bauco1,Bauco1,Baudoinia compniacensis UAMH 10762 (4089826) v1.0,Bauco1_AssemblyScaffolds.fasta.gz,Bauco1_GeneCatalog_genes_20110511.gff.gz,Bauco1.filtered_proteins.FilteredModels1.gff3.gz,54.8,10513.0,22548.0,2.14477313802,12004.0,1.14,10513.0,22548.0,2.14477313802,12035.0,1.14,0,pass
Beaba1,Beaba1,Beauveria bassiana ARSEF 2860,Beaba1_AssemblyScaffolds.fasta.gz,Beaba1_GeneCatalog_genes_20130926.gff.gz,Beaba1.filtered_proteins.ExternalModels.gff3.gz,51.5,694.0,1809.0,2.60662824207,1115.0,1.61,10364.0,28317.0,2.73224623697,17953.0,1.73,65,pass
Bimnz1,Bimnz1,Bimuria novae-zelandiae CBS 107.79 v1.0,Bimnz1_AssemblyScaffolds.fasta.gz,Bimnz1_GeneCatalog_genes_20150128.gff.gz,,44.6,,,,,,16681.0,44711.0,2.68035489479,28030.0,1.68,1,pass
Bjead1_1,Bjead1_1,Bjerkandera adusta v1.0,Bjead1_1_AssemblyScaffolds.fasta.gz,Bjead1_1_GeneCatalog_genes_20110614.gff.gz,Bjead1_1.filtered_proteins.FilteredModels2.gff3.gz,54.8,15473.0,86546.0,5.59335616881,71068.0,4.59,15473.0,86546.0,5.59335616881,71073.0,4.59,2,fail
Blugr1,Blugr1,Blumeria graminis f.sp. hordei DH14,Blugr1_AssemblyScaffolds.fasta.gz,Blugr1_GeneCatalog_genes_20131023.gff.gz,Blugr1.filtered_proteins.BluGenModels.gff3.gz,44.0,6470.0,17899.0,2.76646058733,11429.0,1.77,6470.0,17899.0,2.76646058733,11429.0,1.77,102,pass
Boled1,Boled1,Boletus edulis v1.0,Boled1_AssemblyScaffolds.fasta.gz,Boled1_GeneCatalog_genes_20130211.gff.gz,Boled1.filtered_proteins.FilteredModels1.gff3.gz,50.1,16933.0,82645.0,4.88070631312,65711.0,3.88,16933.0,82645.0,4.88070631312,65712.0,3.88,0,pass
Botbo1,Botbo1,Botryobasidium botryosum v1.0,Botbo1_AssemblyScaffolds.fasta.gz,Botbo1_GeneCatalog_genes_20110803.gff.gz,Botbo1.filtered_proteins.FilteredModels1.gff3.gz,52.4,16526.0,92254.0,5.58235507685,75714.0,4.58,16526.0,92254.0,5.58235507685,75728.0,4.58,1,pass
Botci1,Botci1,Botrytis cinerea v1.0,Botci1_AssemblyScaffolds.fasta.gz,Botci1_GeneCatalog_genes_20110903.gff.gz,Botci1.filtered_proteins.ExternalModels.gff3.gz,43.1,16447.0,43357.0,2.63616465009,26910.0,1.64,16447.0,43357.0,2.63616465009,26910.0,1.64,39,pass
Botdo1_1,Botdo1_1,Botryosphaeria dothidea,Botdo1_1_AssemblyScaffolds.fasta.gz,Botdo1_1_GeneCatalog_genes_20150128.gff.gz,,54.7,,,,,,14998.0,50095.0,3.34011201494,35097.0,2.34,0,pass
Bysci1,Bysci1,Byssothecium circinans CBS 675.92 v1.0,Bysci1_AssemblyScaffolds.fasta.gz,Bysci1_GeneCatalog_genes_20140627.gff.gz,Bysci1.filtered_proteins.FilteredModels1.gff3.gz,48.9,4700.0,12617.0,2.68446808511,7917.0,1.68,15785.0,42189.0,2.67272727273,26404.0,1.67,0,pass
Cadsp1,Cadsp1,Cadophora sp. DSE1049 v1.0,Cadsp1_AssemblyScaffolds.fasta.gz,Cadsp1_GeneCatalog_genes_20140317.gff.gz,Cadsp1.filtered_proteins.FilteredModels1.gff3.gz,45.8,22766.0,69285.0,3.04335412457,46519.0,2.04,22766.0,69285.0,3.04335412457,46519.0,2.04,1,pass
