shortName,longName,fastaName,gffName,gff3Name,gc,numGeneGff3,numExonGff3,numIntronGff3,intronDensityGff3,numGeneGff,numExonGff,numIntronGff,intronDensityGff,rnaSeqCount
Aspnid1,Aspergillus nidulans from AspGD,Aspnid1_AssemblyScaffolds.fasta.gz,Aspnid1_GeneCatalog_genes_20110130.gff.gz,Aspnid1.filtered_proteins.AspGD_genes.gff3.gz,50.4,10680.0,34743.0,24063.0,2.25,10680.0,34743.0,24063.0,2.25,49
Aspnov1,Aspergillus novofumigatus IBT 16806 v1.0,Aspnov1_AssemblyScaffolds.fasta.gz,Aspnov1_GeneCatalog_genes_20140201.gff.gz,Aspnov1.filtered_proteins.FilteredModels1.gff3.gz,49.1,7031.0,23819.0,16788.0,2.39,11549.0,38633.0,27084.0,2.35,1
Aspoch1,Aspergillus ochraceoroseus IBT 24754 v1.0,Aspoch1_AssemblyScaffolds.fasta.gz,Aspoch1_GeneCatalog_genes_20140127.gff.gz,Aspoch1.filtered_proteins.FilteredModels1.gff3.gz,44.2,8924.0,28780.0,19856.0,2.23,8924.0,28780.0,19856.0,2.23,1
Aspor1,Aspergillus oryzae RIB40,Aspor1_AssemblyScaffolds.fasta.gz,Aspor1_GeneCatalog_genes_20120808.gff.gz,Aspor1.filtered_proteins.ExternalModels.gff3.gz,48.3,12030.0,35809.0,23779.0,1.98,12030.0,35809.0,23779.0,1.98,34
Aspph1,Aspergillus phoenicis (Corda) Thom ATCC 13157 v1.0,Aspph1_AssemblyScaffolds.fasta.gz,Aspph1_GeneCatalog_genes_20140307.gff.gz,Aspph1.filtered_proteins.FilteredModels1.gff3.gz,49.5,11977.0,40328.0,28351.0,2.37,11977.0,40328.0,28351.0,2.37,0
Aspste1,Aspergillus steynii IBT 23096 v1.0,Aspste1_AssemblyScaffolds.fasta.gz,Aspste1_GeneCatalog_genes_20140201.gff.gz,Aspste1.filtered_proteins.FilteredModels1.gff3.gz,49.1,1721.0,5516.0,3795.0,2.21,13211.0,41873.0,28662.0,2.17,1
Aspsy1,Aspergillus sydowii v1.0,Aspsy1_AssemblyScaffolds.fasta.gz,Aspsy1_GeneCatalog_genes_20120625.gff.gz,Aspsy1.filtered_proteins.FilteredModels1.gff3.gz,50.0,135.0,413.0,278.0,2.06,13620.0,42880.0,29260.0,2.15,2
Aspte1,Aspergillus terreus NIH 2624,Aspte1_AssemblyScaffolds.fasta.gz,Aspte1_GeneCatalog_genes_20120919.gff.gz,Aspte1.filtered_proteins.ExternalModels.gff3.gz,52.9,1311.0,4171.0,2860.0,2.18,10406.0,33116.0,22710.0,2.18,0
Asptu1,Aspergillus tubingensis v1.0,Asptu1_AssemblyScaffolds.fasta.gz,Asptu1_GeneCatalog_genes_20120711.gff.gz,Asptu1.filtered_proteins.FilteredModels1.gff3.gz,49.2,4857.0,15614.0,10747.0,2.21,12322.0,39304.0,26982.0,2.19,0
Aspve1,Aspergillus versicolor v1.0,Aspve1_AssemblyScaffolds.fasta.gz,Aspve1_GeneCatalog_genes_20120621.gff.gz,Aspve1.filtered_proteins.FilteredModels1.gff3.gz,50.1,1804.0,5764.0,3959.0,2.19,13228.0,41923.0,28695.0,2.17,2
Aspwe1,Aspergillus wentii v1.0,Aspwe1_AssemblyScaffolds.fasta.gz,Aspwe1_GeneCatalog_genes_20120711.gff.gz,Aspwe1.filtered_proteins.FilteredModels1.gff3.gz,48.0,2195.0,6947.0,4750.0,2.16,12442.0,38956.0,26514.0,2.13,0
Aspzo1,Aspergillus zonatus v1.0,Aspzo1_AssemblyScaffolds.fasta.gz,Aspzo1_GeneCatalog_genes_20121010.gff.gz,Aspzo1.filtered_proteins.GeneCatalog_2013_12_03_15_38.gff3.gz,48.3,838.0,2614.0,1776.0,2.12,11362.0,33813.0,22451.0,1.98,0
Atrsp2,Atractiellales sp. v2.0,Atrsp2_AssemblyScaffolds.fasta.gz,Atrsp2_GeneCatalog_genes_20130826.gff.gz,Atrsp2.filtered_proteins.FilteredModels1.gff3.gz,48.5,13860.0,75615.0,61755.0,4.46,17606.0,93311.0,75705.0,4.3,0
Aulhe2,Aulographum hederae v2.0,Aulhe2_AssemblyScaffolds.fasta.gz,Aulhe2_GeneCatalog_genes_20130401.gff.gz,Aulhe2.filtered_proteins.FilteredModels1.gff3.gz,52.4,12127.0,32217.0,20090.0,1.66,12127.0,32217.0,20090.0,1.66,0
Aurde3_1,Auricularia subglabra v2.0,Aurde3_1_AssemblyScaffolds.fasta.gz,Aurde3_1_GeneCatalog_genes_20130729.gff.gz,Aurde3_1.filtered_proteins.FilteredModels1.gff3.gz,58.6,25459.0,122185.0,96722.0,3.8,25459.0,122185.0,96726.0,3.8,0
Aurpu_var_mel1,Aureobasidium pullulans var. melanogenum CBS 110374,Aurpu_var_mel1_AssemblyScaffolds.fasta.gz,Aurpu_var_mel1_GeneCatalog_genes_20130418.gff.gz,Aurpu_var_mel1.filtered_proteins.FilteredModels1.gff3.gz,49.8,7472.0,19075.0,11603.0,1.55,10594.0,26920.0,16326.0,1.54,3
Aurpu_var_nam1,Aureobasidium pullulans var. namibiae CBS 147.97,Aurpu_var_nam1_AssemblyScaffolds.fasta.gz,Aurpu_var_nam1_GeneCatalog_genes_20130418.gff.gz,Aurpu_var_nam1.filtered_proteins.FilteredModels1.gff3.gz,51.1,6682.0,17345.0,10663.0,1.6,10266.0,26609.0,16343.0,1.59,3
Aurpu_var_pul1,Aureobasidium pullulans var. pullulans EXF-150,Aurpu_var_pul1_AssemblyScaffolds.fasta.gz,Aurpu_var_pul1_GeneCatalog_genes_20130219.gff.gz,Aurpu_var_pul1.filtered_proteins.FilteredModels1.gff3.gz,50.0,11866.0,29461.0,17595.0,1.48,11866.0,29461.0,17595.0,1.48,3
Aurpu_var_sub1,Aureobasidium pullulans var. subglaciale EXF-2481,Aurpu_var_sub1_AssemblyScaffolds.fasta.gz,Aurpu_var_sub1_GeneCatalog_genes_20120515.gff.gz,Aurpu_var_sub1.filtered_proteins.FilteredModels1.gff3.gz,50.8,10809.0,27144.0,16316.0,1.51,10809.0,27144.0,16335.0,1.51,3
Aurvu1,Auriscalpium vulgare FP105234-Sp v1.0,Aurvu1_AssemblyScaffolds.fasta.gz,Aurvu1_GeneCatalog_genes_20140723.gff.gz,,56.8,,,,,16945.0,88492.0,71547.0,4.22,1
Babin1,Babjeviella inositovora NRRL Y-12698 v1.0,Babin1_AssemblyScaffolds.fasta.gz,Babin1_GeneCatalog_genes_20120306.gff.gz,Babin1.filtered_proteins.FilteredModels2.gff3.gz,48.1,109.0,143.0,34.0,0.31,6403.0,8100.0,1697.0,0.27,0
Bacci1,Backusella circina FSU 941 v1.0,Bacci1_AssemblyScaffolds.fasta.gz,Bacci1_GeneCatalog_genes_20130730.gff.gz,Bacci1.filtered_proteins.FilteredModels1.gff3.gz,34.5,993.0,4422.0,3429.0,3.45,17039.0,72499.0,55460.0,3.25,0
Basun1,Basidioascus undulatus,Basun1_AssemblyScaffolds.fasta.gz,Basun1_GeneCatalog_genes_20150127.gff.gz,,58.0,,,,,6123.0,51966.0,45843.0,7.49,0
Batde5,Batrachochytrium dendrobatidis JAM81 v1.0,Batde5_scaffolds.fasta.gz,,Batde5.filtered_proteins.FilteredModels2.gff3.gz,39.3,3180.0,14393.0,11213.0,3.53,,,,,10
Bauco1,Baudoinia compniacensis UAMH 10762 (4089826) v1.0,Bauco1_AssemblyScaffolds.fasta.gz,Bauco1_GeneCatalog_genes_20110511.gff.gz,Bauco1.filtered_proteins.FilteredModels1.gff3.gz,54.8,10513.0,22548.0,12004.0,1.14,10513.0,22548.0,12035.0,1.14,0
Beaba1,Beauveria bassiana ARSEF 2860,Beaba1_AssemblyScaffolds.fasta.gz,Beaba1_GeneCatalog_genes_20130926.gff.gz,Beaba1.filtered_proteins.ExternalModels.gff3.gz,51.5,694.0,1809.0,1115.0,1.61,10364.0,28317.0,17953.0,1.73,65
Bimnz1,Bimuria novae-zelandiae CBS 107.79 v1.0,Bimnz1_AssemblyScaffolds.fasta.gz,Bimnz1_GeneCatalog_genes_20150128.gff.gz,,44.6,,,,,16681.0,44711.0,28030.0,1.68,1
Bjead1_1,Bjerkandera adusta v1.0,Bjead1_1_AssemblyScaffolds.fasta.gz,Bjead1_1_GeneCatalog_genes_20110614.gff.gz,Bjead1_1.filtered_proteins.FilteredModels2.gff3.gz,54.8,15473.0,86546.0,71068.0,4.59,15473.0,86546.0,71073.0,4.59,2
Blugr1,Blumeria graminis f.sp. hordei DH14,Blugr1_AssemblyScaffolds.fasta.gz,Blugr1_GeneCatalog_genes_20131023.gff.gz,Blugr1.filtered_proteins.BluGenModels.gff3.gz,44.0,6470.0,17899.0,11429.0,1.77,6470.0,17899.0,11429.0,1.77,102
Boled1,Boletus edulis v1.0,Boled1_AssemblyScaffolds.fasta.gz,Boled1_GeneCatalog_genes_20130211.gff.gz,Boled1.filtered_proteins.FilteredModels1.gff3.gz,50.1,16933.0,82645.0,65711.0,3.88,16933.0,82645.0,65712.0,3.88,0
Botbo1,Botryobasidium botryosum v1.0,Botbo1_AssemblyScaffolds.fasta.gz,Botbo1_GeneCatalog_genes_20110803.gff.gz,Botbo1.filtered_proteins.FilteredModels1.gff3.gz,52.4,16526.0,92254.0,75714.0,4.58,16526.0,92254.0,75728.0,4.58,1
Botci1,Botrytis cinerea v1.0,Botci1_AssemblyScaffolds.fasta.gz,Botci1_GeneCatalog_genes_20110903.gff.gz,Botci1.filtered_proteins.ExternalModels.gff3.gz,43.1,16447.0,43357.0,26910.0,1.64,16447.0,43357.0,26910.0,1.64,39
Botdo1_1,Botryosphaeria dothidea,Botdo1_1_AssemblyScaffolds.fasta.gz,Botdo1_1_GeneCatalog_genes_20150128.gff.gz,,54.7,,,,,14998.0,50095.0,35097.0,2.34,0
Bysci1,Byssothecium circinans CBS 675.92 v1.0,Bysci1_AssemblyScaffolds.fasta.gz,Bysci1_GeneCatalog_genes_20140627.gff.gz,Bysci1.filtered_proteins.FilteredModels1.gff3.gz,48.9,4700.0,12617.0,7917.0,1.68,15785.0,42189.0,26404.0,1.67,0
Cadsp1,Cadophora sp. DSE1049 v1.0,Cadsp1_AssemblyScaffolds.fasta.gz,Cadsp1_GeneCatalog_genes_20140317.gff.gz,Cadsp1.filtered_proteins.FilteredModels1.gff3.gz,45.8,22766.0,69285.0,46519.0,2.04,22766.0,69285.0,46519.0,2.04,1
Calco1,Calocera cornea v1.0,Calco1_AssemblyScaffolds.fasta.gz,Calco1_GeneCatalog_genes_20130417.gff.gz,,57.0,,,,,13177.0,58493.0,45316.0,3.44,0
Calvi1,Calocera viscosa v1.0,Calvi1_AssemblyScaffolds.fasta.gz,Calvi1_GeneCatalog_genes_20130829.gff.gz,,56.4,,,,,12378.0,56800.0,44422.0,3.59,1
Canar1,Candida arabinofermentans NRRL YB-2248 v1.0,Canar1_AssemblyScaffolds.fasta.gz,Canar1_GeneCatalog_genes_20111127.gff.gz,Canar1.filtered_proteins.FilteredModels1.gff3.gz,34.7,5861.0,7828.0,1928.0,0.33,5861.0,7828.0,1967.0,0.34,4
Canca1,Candida caseinolytica Y-17796 v1.0,Canca1_AssemblyScaffolds.fasta.gz,Canca1_GeneCatalog_genes_20110525.gff.gz,Canca1.filtered_proteins.FilteredModels1.gff3.gz,45.4,4657.0,5603.0,918.0,0.2,4657.0,5603.0,946.0,0.2,0
Canta1,Candida tanzawaensis NRRL Y-17324 v1.0,Canta1_AssemblyScaffolds.fasta.gz,Canta1_GeneCatalog_genes_20120131.gff.gz,Canta1.filtered_proteins.FilteredModels1.gff3.gz,45.3,5895.0,7316.0,1410.0,0.24,5895.0,7316.0,1421.0,0.24,0
Cante1,Candida tenuis NRRL Y-1498 v1.0,Cante1_genomic_scaffolds.fasta.gz,,Cante1.filtered_proteins.FilteredModels3.gff3.gz,42.9,5533.0,6706.0,1173.0,0.21,,,,,3
Catan1,Catenaria anguillulae PL171 v1.0,Catan1_AssemblyScaffolds.fasta.gz,Catan1_GeneCatalog_genes_20120622.gff.gz,Catan1.filtered_proteins.FilteredModels1.gff3.gz,55.9,14188.0,35442.0,21223.0,1.5,14188.0,35442.0,21254.0,1.5,1
Cenge3,Cenococcum geophilum 1.58 v2.0,Cenge3_AssemblyScaffolds.fasta.gz,Cenge3_GeneCatalog_genes_20130403.gff.gz,Cenge3.filtered_proteins.FilteredModels1.gff3.gz,37.5,14748.0,43156.0,28408.0,1.93,14748.0,43156.0,28408.0,1.93,1
Cepal1_1,Cephaloascus albidus ATCC 66658 v1.0,Cepal1_1_AssemblyScaffolds.fasta.gz,Cepal1_1_GeneCatalog_genes_20150113.gff.gz,,34.7,,,,,6196.0,8728.0,2532.0,0.41,0
Cepfr1_1,Cephaloascus fragrans 12-1022 v1.0,Cepfr1_1_AssemblyScaffolds.fasta.gz,Cepfr1_1_GeneCatalog_genes_20150115.gff.gz,,36.9,,,,,5717.0,7915.0,2198.0,0.38,0
CerAGI,"Ceratobasidium sp. (anastomosis group I, AG-I) v1.0",CerAGI_AssemblyScaffolds.fasta.gz,CerAGI_GeneCatalog_genes_20150524.gff.gz,,50.0,,,,,18060.0,109825.0,91765.0,5.08,0
Cersp1,Ceraceosorus sp. MCA 4658 v1.0,Cersp1_AssemblyScaffolds.fasta.gz,Cersp1_GeneCatalog_genes_20150406.gff.gz,,56.0,,,,,7822.0,30314.0,22492.0,2.88,0
Cersu1,Ceriporiopsis (Gelatoporia) subvermispora B,Ceriporiopsis_subvermispora.unmasked.fasta.gz,,Cersu1.filtered_proteins.FilteredModels1.gff3.gz,53.8,12125.0,80856.0,68730.0,5.67,,,,,4
Cerun2,Cerrena unicolor v1.1,Cerun2_AssemblyScaffolds.fasta.gz,Cerun2_GeneCatalog_genes_20130111.gff.gz,Cerun2.filtered_proteins.FilteredModels1.gff3.gz,47.5,12966.0,77141.0,64175.0,4.95,12966.0,77141.0,64175.0,4.95,0
Cerzm1,Cercospora zeae-maydis v1.0,Cerzm1_AssemblyScaffolds.fasta.gz,Cerzm1_GeneCatalog_genes_20111029.gff.gz,Cerzm1.filtered_proteins.FilteredModels1.gff3.gz,48.5,5886.0,13532.0,7646.0,1.3,12020.0,27845.0,15825.0,1.32,0
